user_id,segment,total_recommendations,high_priority_count,top_rec_type,top_rec_priority,top_rec_message,top_rec_action,is_anomaly,anomaly_score
USR944dh,Single-Tasker,4,0,spending_warning,medium,Your recent average spend ($708/txn) is 254% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,False,12.31
USR418ju,Single-Tasker,4,0,spending_warning,medium,Your recent average spend ($783/txn) is 291% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,False,4.37
USR896kh,Single-Tasker,3,1,spending_warning,high,You have 6 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,0.02
USR961UU,Single-Tasker,2,0,budget_advice,medium,You spend 234% more than similar users on Friend Activities ($0 vs peer avg $0/month).,Setting a monthly budget for Friend Activities could bring your spend in line with peers.,False,1.87
USR324Nf,Single-Tasker,2,0,budget_advice,medium,You spend 425% more than similar users on Personal Hygiene ($0 vs peer avg $0/month).,Setting a monthly budget for Personal Hygiene could bring your spend in line with peers.,False,2.81
USR500hm,Consistent Weekly,1,0,budget_advice,medium,Your Personal Hygiene spending spiked to 22.0x your usual amount in your highest month.,Consider a monthly cap on Personal Hygiene to avoid these irregular spikes.,False,11.84
USR539EC,Single-Tasker,4,1,spending_warning,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,10.77
USR053xd,Consistent Weekly,3,1,spending_warning,high,You have 5 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,1.64
USR082ip,Consistent Weekly,2,0,budget_advice,medium,You spend 175% more than similar users on Gifts ($0 vs peer avg $0/month).,Setting a monthly budget for Gifts could bring your spend in line with peers.,False,9.47
USR721Xc,Single-Tasker,3,0,budget_advice,medium,You spend 200% more than similar users on Personal Hygiene ($0 vs peer avg $0/month).,Setting a monthly budget for Personal Hygiene could bring your spend in line with peers.,False,1.28
USR242VN,Healthy Active User,2,0,budget_advice,medium,You spend 38% more than similar users on Transportation ($0 vs peer avg $0/month).,Setting a monthly budget for Transportation could bring your spend in line with peers.,False,15.1
USR598GE,Single-Tasker,3,0,spending_warning,medium,Your recent average spend ($2056/txn) is 928% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,False,5.27
USR511YG,Consistent Weekly,4,1,spending_warning,high,Your average transaction amount this month ($15893) is 1107% above your usual average ($1317).,Review your recent transactions to identify what changed.,False,15.81
USR360hy,Single-Tasker,4,1,spending_warning,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,0.35
USR430vt,Single-Tasker,5,2,spending_warning,high,Your average transaction amount this month ($1933) is 339% above your usual average ($440).,Review your recent transactions to identify what changed.,False,1.34
USR244Uu,Single-Tasker,4,1,spending_warning,high,You have 5 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,0.77
USR478AY,Single-Tasker,3,0,spending_warning,medium,Your recent average spend ($1653/txn) is 727% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,False,3.62
USR215xz,Single-Tasker,3,1,spending_warning,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,0.21
USR247kd,Single-Tasker,2,0,budget_advice,medium,You spend 206% more than similar users on Hobbies ($0 vs peer avg $0/month).,Setting a monthly budget for Hobbies could bring your spend in line with peers.,False,2.46
USR207DW,Single-Tasker,4,1,spending_warning,high,Your average transaction amount this month ($8947) is 817% above your usual average ($976).,Review your recent transactions to identify what changed.,False,11.87
USR258us,Single-Tasker,3,1,spending_warning,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,1.05
USR534tr,Consistent Weekly,3,0,spending_warning,medium,Your recent average spend ($1507/txn) is 436% higher than similar users ($281/txn).,Consider whether your spending aligns with your financial goals.,False,2.59
USR139BK,Consistent Weekly,3,0,spending_warning,medium,Your recent average spend ($1143/txn) is 306% higher than similar users ($281/txn).,Consider whether your spending aligns with your financial goals.,False,11.87
USR465GL,Consistent Weekly,3,1,spending_warning,high,You have 5 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,2.2
USR628KZ,Consistent Weekly,3,1,spending_warning,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,1.55
USR726Lh,Consistent Weekly,5,2,spending_warning,high,Your average transaction amount this month ($504) is 147% above your usual average ($204).,Review your recent transactions to identify what changed.,False,11.51
USR423EB,Single-Tasker,3,1,spending_warning,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,2.05
USR380Yw,Healthy Active User,3,1,spending_warning,high,You have 5 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,3.61
USR653TK,Single-Tasker,2,0,budget_advice,medium,You spend 342% more than similar users on Hobbies ($0 vs peer avg $0/month).,Setting a monthly budget for Hobbies could bring your spend in line with peers.,False,4.82
USR271Yo,Single-Tasker,3,1,spending_warning,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,1.65
USR574tK,Single-Tasker,3,1,spending_warning,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,1.36
USR572qw,Single-Tasker,3,1,spending_warning,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,9.07
USR925Mf,Consistent Weekly,5,2,spending_warning,high,Your average transaction amount this month ($1177) is 170% above your usual average ($435).,Review your recent transactions to identify what changed.,False,2.81
USR201Zu,Consistent Weekly,3,1,spending_warning,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,2.29
USR425DX,Single-Tasker,3,1,spending_warning,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,0.94
USR388wJ,Consistent Weekly,3,0,spending_warning,medium,Your recent average spend ($502/txn) is 78% higher than similar users ($281/txn).,Consider whether your spending aligns with your financial goals.,False,8.18
USR068Xr,Single-Tasker,3,1,spending_warning,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,22.61
USR223cE,Single-Tasker,3,0,budget_advice,medium,You spend 161% more than similar users on Medical/Dental ($0 vs peer avg $0/month).,Setting a monthly budget for Medical/Dental could bring your spend in line with peers.,False,3.8
USR031uI,Consistent Weekly,3,0,budget_advice,medium,You spend 156% more than similar users on Travel ($0 vs peer avg $0/month).,Setting a monthly budget for Travel could bring your spend in line with peers.,False,2.02
USR151Xg,Single-Tasker,4,1,spending_warning,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,2.25
USR013pA,Single-Tasker,3,0,budget_advice,medium,You spend 248% more than similar users on Travel ($0 vs peer avg $0/month).,Setting a monthly budget for Travel could bring your spend in line with peers.,False,7.1
USR579jO,Consistent Weekly,2,0,budget_advice,medium,You spend 116% more than similar users on Food ($0 vs peer avg $0/month).,Setting a monthly budget for Food could bring your spend in line with peers.,False,14.35
USR621BM,Single-Tasker,3,0,spending_warning,medium,Your recent average spend ($552/txn) is 176% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,False,1.16
USR592gD,Single-Tasker,2,0,budget_advice,medium,You spend 186% more than similar users on Medical/Dental ($0 vs peer avg $0/month).,Setting a monthly budget for Medical/Dental could bring your spend in line with peers.,False,1.15
USR140si,Single-Tasker,4,1,savings_suggestion,high,Your current balance is low ($185.36).,Consider reducing discretionary spending this month to build a buffer.,False,2.67
USR596jh,Healthy Active User,1,0,budget_advice,medium,Your Friend Activities spending spiked to 11.0x your usual amount in your highest month.,Consider a monthly cap on Friend Activities to avoid these irregular spikes.,False,3.7
USR691El,Consistent Weekly,2,0,budget_advice,medium,You spend 63% more than similar users on Fitness ($0 vs peer avg $0/month).,Setting a monthly budget for Fitness could bring your spend in line with peers.,False,9.4
USR062rU,Consistent Weekly,3,1,spending_warning,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,1.09
USR628kq,Consistent Weekly,3,0,spending_warning,medium,Your recent average spend ($666/txn) is 137% higher than similar users ($281/txn).,Consider whether your spending aligns with your financial goals.,False,6.57
USR421bB,Single-Tasker,5,1,spending_warning,high,Your average transaction amount this month ($609) is 58% above your usual average ($385).,Review your recent transactions to identify what changed.,False,1.17
USR376hP,Single-Tasker,5,2,spending_warning,high,Your average transaction amount this month ($640) is 100% above your usual average ($321).,Review your recent transactions to identify what changed.,False,0.63
USR001YL,Consistent Weekly,4,0,spending_warning,medium,Your recent average spend ($435/txn) is 55% higher than similar users ($281/txn).,Consider whether your spending aligns with your financial goals.,False,4.4
USR756hT,Single-Tasker,2,0,budget_advice,medium,You spend 233% more than similar users on Travel ($0 vs peer avg $0/month).,Setting a monthly budget for Travel could bring your spend in line with peers.,False,10.56
USR148zM,Single-Tasker,3,1,spending_warning,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,0.64
USR496UB,Consistent Weekly,5,2,spending_warning,high,Your average transaction amount this month ($1193) is 149% above your usual average ($479).,Review your recent transactions to identify what changed.,False,5.91
USR739ei,Single-Tasker,4,1,spending_warning,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,3.71
USR461nX,Single-Tasker,3,0,spending_warning,medium,Your recent average spend ($1236/txn) is 518% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,False,6.35
USR313nW,Single-Tasker,5,2,spending_warning,high,Your average transaction amount this month ($712) is 108% above your usual average ($342).,Review your recent transactions to identify what changed.,False,1.69
USR626gZ,Single-Tasker,3,0,spending_warning,medium,Your recent average spend ($347/txn) is 74% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,False,1.96
USR746kv,Consistent Weekly,3,1,spending_warning,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,1.57
USR632NW,Single-Tasker,3,0,spending_warning,medium,Your recent average spend ($322/txn) is 61% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,False,3.45
USR765RD,Healthy Active User,3,1,spending_warning,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,4.85
USR756uA,Single-Tasker,3,1,spending_warning,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,0.56
USR619km,Healthy Active User,2,0,budget_advice,medium,You spend 424% more than similar users on Food ($0 vs peer avg $0/month).,Setting a monthly budget for Food could bring your spend in line with peers.,False,4.8
USR040Ko,Single-Tasker,3,1,spending_warning,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,0.4
USR268Dy,Single-Tasker,3,0,budget_advice,medium,You spend 250% more than similar users on Travel ($0 vs peer avg $0/month).,Setting a monthly budget for Travel could bring your spend in line with peers.,False,5.23
USR708ic,Single-Tasker,5,2,spending_warning,high,Your average transaction amount this month ($1046) is 142% above your usual average ($432).,Review your recent transactions to identify what changed.,False,1.89
USR737zJ,Single-Tasker,2,0,budget_advice,medium,You spend 264% more than similar users on Housing and Utilities ($0 vs peer avg $0/month).,Setting a monthly budget for Housing and Utilities could bring your spend in line with peers.,False,0.23
USR074qk,Single-Tasker,3,0,budget_advice,medium,You spend 75% more than similar users on Food ($0 vs peer avg $0/month).,Setting a monthly budget for Food could bring your spend in line with peers.,False,1.13
USR552iz,Single-Tasker,3,0,budget_advice,medium,You spend 157% more than similar users on Food ($0 vs peer avg $0/month).,Setting a monthly budget for Food could bring your spend in line with peers.,False,2.44
USR383GT,Single-Tasker,3,1,spending_warning,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,1.44
USR605Px,Consistent Weekly,2,0,budget_advice,medium,You spend 150% more than similar users on Personal Hygiene ($0 vs peer avg $0/month).,Setting a monthly budget for Personal Hygiene could bring your spend in line with peers.,False,3.76
USR494kt,Single-Tasker,3,0,budget_advice,medium,You spend 89% more than similar users on Fitness ($0 vs peer avg $0/month).,Setting a monthly budget for Fitness could bring your spend in line with peers.,False,16.89
USR774PR,Single-Tasker,3,1,spending_warning,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,3.38
USR990MJ,Healthy Active User,2,0,budget_advice,medium,You spend 49% more than similar users on Fitness ($0 vs peer avg $0/month).,Setting a monthly budget for Fitness could bring your spend in line with peers.,False,11.53
USR651Yc,Single-Tasker,3,1,spending_warning,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,1.74
USR996DQ,Healthy Active User,3,1,spending_warning,high,You have 5 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,4.92
USR270YP,Single-Tasker,3,0,spending_warning,medium,Your recent average spend ($603/txn) is 201% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,False,20.0
USR605nX,Consistent Weekly,3,1,spending_warning,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,1.68
USR793Ca,Healthy Active User,2,0,budget_advice,medium,Your Medical/Dental spending spiked to 19.0x your usual amount in your highest month.,Consider a monthly cap on Medical/Dental to avoid these irregular spikes.,False,13.7
USR100df,Consistent Weekly,3,0,budget_advice,medium,You spend 92% more than similar users on Gifts ($0 vs peer avg $0/month).,Setting a monthly budget for Gifts could bring your spend in line with peers.,False,10.56
USR840Fs,Healthy Active User,3,1,spending_warning,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,2.23
USR472to,Single-Tasker,2,0,budget_advice,medium,You spend 215% more than similar users on Friend Activities ($0 vs peer avg $0/month).,Setting a monthly budget for Friend Activities could bring your spend in line with peers.,False,4.88
USR847Vu,Single-Tasker,4,1,spending_warning,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,0.14
USR932HS,Single-Tasker,3,0,spending_warning,medium,Your recent average spend ($511/txn) is 156% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,False,4.38
USR646Eg,Consistent Weekly,4,1,spending_warning,high,Your average transaction amount this month ($56534) is 1373% above your usual average ($3838).,Review your recent transactions to identify what changed.,False,30.24
USR258SD,Healthy Active User,3,0,budget_advice,medium,You spend 283% more than similar users on Housing and Utilities ($0 vs peer avg $0/month).,Setting a monthly budget for Housing and Utilities could bring your spend in line with peers.,False,6.26
USR465Of,Consistent Weekly,3,1,spending_warning,high,You have 5 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,1.16
USR556jk,Single-Tasker,3,1,spending_warning,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,1.0
USR886vk,Consistent Weekly,2,0,budget_advice,medium,You spend 63% more than similar users on Travel ($0 vs peer avg $0/month).,Setting a monthly budget for Travel could bring your spend in line with peers.,False,9.39
USR372Mt,Single-Tasker,2,0,budget_advice,medium,You spend 157% more than similar users on Food ($0 vs peer avg $0/month).,Setting a monthly budget for Food could bring your spend in line with peers.,False,2.68
USR834PN,Consistent Weekly,2,0,budget_advice,medium,You spend 95% more than similar users on Housing and Utilities ($0 vs peer avg $0/month).,Setting a monthly budget for Housing and Utilities could bring your spend in line with peers.,False,15.07
USR129NG,Single-Tasker,2,0,budget_advice,medium,You spend 265% more than similar users on Hobbies ($0 vs peer avg $0/month).,Setting a monthly budget for Hobbies could bring your spend in line with peers.,False,3.11
USR401fn,Single-Tasker,3,1,spending_warning,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,0.87
USR297tJ,Single-Tasker,2,0,budget_advice,medium,You spend 209% more than similar users on Food ($0 vs peer avg $0/month).,Setting a monthly budget for Food could bring your spend in line with peers.,False,1.56
USR993dr,Consistent Weekly,3,1,spending_warning,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,11.32
USR249de,Single-Tasker,3,1,spending_warning,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,0.15
USR862eI,Single-Tasker,2,0,budget_advice,medium,You spend 350% more than similar users on Personal Hygiene ($0 vs peer avg $0/month).,Setting a monthly budget for Personal Hygiene could bring your spend in line with peers.,False,2.5
USR489ka,Single-Tasker,5,1,spending_warning,high,Your average transaction amount this month ($14859) is 1013% above your usual average ($1335).,Review your recent transactions to identify what changed.,False,16.05
USR936rw,Healthy Active User,3,0,budget_advice,medium,You spend 660% more than similar users on Medical/Dental ($0 vs peer avg $0/month).,Setting a monthly budget for Medical/Dental could bring your spend in line with peers.,False,4.18
USR981Is,Single-Tasker,4,1,spending_warning,high,Your average transaction amount this month ($2371) is 91% above your usual average ($1244).,Review your recent transactions to identify what changed.,False,2.06
USR169XO,Single-Tasker,3,1,spending_warning,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,0.39
USR885xH,Single-Tasker,4,1,spending_warning,high,Your average transaction amount this month ($649) is 110% above your usual average ($308).,Review your recent transactions to identify what changed.,False,0.76
USR104NK,Consistent Weekly,3,0,budget_advice,medium,You spend 198% more than similar users on Travel ($0 vs peer avg $0/month).,Setting a monthly budget for Travel could bring your spend in line with peers.,False,3.81
USR828eU,Healthy Active User,2,0,budget_advice,medium,You spend 445% more than similar users on Friend Activities ($0 vs peer avg $0/month).,Setting a monthly budget for Friend Activities could bring your spend in line with peers.,False,6.68
USR689HM,Single-Tasker,3,0,spending_warning,medium,Your recent average spend ($1233/txn) is 517% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,False,4.98
USR654ba,Healthy Active User,1,0,budget_advice,medium,Your Gifts spending spiked to 23.0x your usual amount in your highest month.,Consider a monthly cap on Gifts to avoid these irregular spikes.,False,20.44
USR725fj,Single-Tasker,4,1,spending_warning,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,4.26
USR703am,Consistent Weekly,4,1,spending_warning,high,Your average transaction amount this month ($467) is 67% above your usual average ($280).,Review your recent transactions to identify what changed.,False,2.02
USR704Np,Consistent Weekly,3,0,spending_warning,medium,Your recent average spend ($875/txn) is 211% higher than similar users ($281/txn).,Consider whether your spending aligns with your financial goals.,False,3.27
USR990wn,Consistent Weekly,4,1,spending_warning,high,Your average transaction amount this month ($29043) is 1415% above your usual average ($1917).,Review your recent transactions to identify what changed.,False,22.05
USR557yC,Consistent Weekly,4,2,spending_warning,high,Your average transaction amount this month ($389) is 61% above your usual average ($242).,Review your recent transactions to identify what changed.,False,0.8
USR165jr,Single-Tasker,5,2,spending_warning,high,Your average transaction amount this month ($433) is 71% above your usual average ($254).,Review your recent transactions to identify what changed.,False,0.16
USR203qJ,Single-Tasker,2,0,budget_advice,medium,You spend 311% more than similar users on Hobbies ($0 vs peer avg $0/month).,Setting a monthly budget for Hobbies could bring your spend in line with peers.,False,1.91
USR677Eb,Single-Tasker,3,0,spending_warning,medium,Your recent average spend ($673/txn) is 236% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,False,2.95
USR848ei,Single-Tasker,3,0,budget_advice,medium,You spend 250% more than similar users on Hobbies ($0 vs peer avg $0/month).,Setting a monthly budget for Hobbies could bring your spend in line with peers.,False,2.19
USR718eU,Consistent Weekly,3,1,spending_warning,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,0.99
USR162th,Healthy Active User,2,0,budget_advice,medium,You spend 776% more than similar users on Gifts ($0 vs peer avg $0/month).,Setting a monthly budget for Gifts could bring your spend in line with peers.,False,4.5
USR279gH,Single-Tasker,3,1,spending_warning,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,0.35
USR066Hw,Consistent Weekly,3,0,budget_advice,medium,You spend 84% more than similar users on Medical/Dental ($0 vs peer avg $0/month).,Setting a monthly budget for Medical/Dental could bring your spend in line with peers.,False,7.4
USR139QE,Consistent Weekly,3,1,spending_warning,high,You have 5 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,2.08
USR317Xw,Consistent Weekly,3,1,spending_warning,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,11.15
USR866Vy,Single-Tasker,3,0,budget_advice,medium,You spend 40% more than similar users on Food ($0 vs peer avg $0/month).,Setting a monthly budget for Food could bring your spend in line with peers.,False,3.0
USR672oM,Single-Tasker,3,0,spending_warning,medium,Your recent average spend ($715/txn) is 258% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,False,2.83
USR437KX,Single-Tasker,2,0,budget_advice,medium,You spend 338% more than similar users on Gifts ($0 vs peer avg $0/month).,Setting a monthly budget for Gifts could bring your spend in line with peers.,False,3.81
USR415QQ,Single-Tasker,3,1,spending_warning,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,0.09
USR332Yp,Consistent Weekly,2,0,budget_advice,medium,You spend 67% more than similar users on Friend Activities ($0 vs peer avg $0/month).,Setting a monthly budget for Friend Activities could bring your spend in line with peers.,False,2.23
USR598Hk,Single-Tasker,3,0,spending_warning,medium,Your recent average spend ($1029/txn) is 414% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,False,2.41
USR726VM,Single-Tasker,3,0,budget_advice,medium,You spend 204% more than similar users on Travel ($0 vs peer avg $0/month).,Setting a monthly budget for Travel could bring your spend in line with peers.,False,2.1
USR059hG,Single-Tasker,3,1,spending_warning,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,0.17
USR843Yq,Single-Tasker,2,0,budget_advice,medium,You spend 233% more than similar users on Medical/Dental ($0 vs peer avg $0/month).,Setting a monthly budget for Medical/Dental could bring your spend in line with peers.,False,0.27
USR473tw,Single-Tasker,2,0,budget_advice,medium,You spend 275% more than similar users on Housing and Utilities ($0 vs peer avg $0/month).,Setting a monthly budget for Housing and Utilities could bring your spend in line with peers.,False,4.63
USR146jK,Single-Tasker,2,0,budget_advice,medium,You spend 150% more than similar users on Medical/Dental ($0 vs peer avg $0/month).,Setting a monthly budget for Medical/Dental could bring your spend in line with peers.,False,0.49
USR785nU,Single-Tasker,6,2,spending_warning,high,Your average transaction amount this month ($736) is 136% above your usual average ($312).,Review your recent transactions to identify what changed.,False,0.18
USR102Ib,Consistent Weekly,3,1,spending_warning,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,13.24
USR350bh,Single-Tasker,3,1,spending_warning,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,False,2.19
USR331Xb,Single-Tasker,3,0,spending_warning,medium,Your recent average spend ($571/txn) is 186% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,False,1.4
