user_id,type,comparison,priority,message,action,metric
USR663xt,budget_advice,peer,medium,You spend 71% more than similar users on Fitness ($0 vs peer avg $0/month).,Setting a monthly budget for Fitness could bring your spend in line with peers.,"{'category': 'Fitness', 'user_spend': np.float64(0.3333333333333333), 'peer_spend': np.float64(0.1952380952380952), 'pct_above': 71}"
USR663xt,budget_advice,personal,medium,Your Hobbies spending spiked to 10.5x your usual amount in your highest month.,Consider a monthly cap on Hobbies to avoid these irregular spikes.,"{'category': 'Hobbies', 'spike_ratio': np.float64(10.5)}"
USR663xt,behavioral_nudge,personal,low,61% of your total spend happens on weekends.,Weekend spending patterns often include more impulse purchases. Planning ahead could reduce costs.,"{'weekend_spend_pct': 61, 'weekend_spend': np.float64(11423.5), 'weekday_spend': np.float64(7333.09)}"
USR661vO,budget_advice,peer,medium,You spend 234% more than similar users on Hobbies ($0 vs peer avg $0/month).,Setting a monthly budget for Hobbies could bring your spend in line with peers.,"{'category': 'Hobbies', 'user_spend': np.float64(0.3181818181818182), 'peer_spend': np.float64(0.0952380952380952), 'pct_above': 234}"
USR661vO,budget_advice,personal,medium,Your Food spending spiked to 7.3x your usual amount in your highest month.,Consider a monthly cap on Food to avoid these irregular spikes.,"{'category': 'Food', 'spike_ratio': np.float64(7.3)}"
USR661vO,behavioral_nudge,personal,low,87% of your total spend happens on weekends.,Weekend spending patterns often include more impulse purchases. Planning ahead could reduce costs.,"{'weekend_spend_pct': 87, 'weekend_spend': np.float64(76709.22), 'weekday_spend': np.float64(11239.11)}"
USR451OQ,spending_warning,personal,high,Your average transaction amount this month ($111678) is 1967% above your usual average ($5404).,Review your recent transactions to identify what changed.,"{'avg_amt_30d': np.float64(111677.965), 'all_time_avg': np.float64(5403.577454545455), 'pct_above': 1967}"
USR451OQ,spending_warning,model,high,Our anomaly detection model flagged your account (score: 40/100).,Review your recent transactions for any unusual or unrecognised activity.,{'anomaly_score': 40.26}
USR451OQ,spending_warning,peer,medium,Your recent average spend ($111678/txn) is 55739% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,"{'avg_amt_30d': np.float64(111677.965), 'peer_avg': np.float64(200.0), 'pct_above': 55739}"
USR451OQ,budget_advice,peer,medium,You spend 133% more than similar users on Food ($0 vs peer avg $0/month).,Setting a monthly budget for Food could bring your spend in line with peers.,"{'category': 'Food', 'user_spend': np.float64(0.3181818181818182), 'peer_spend': np.float64(0.1363636363636363), 'pct_above': 133}"
USR451OQ,budget_advice,personal,medium,Your Hobbies spending spiked to 22.0x your usual amount in your highest month.,Consider a monthly cap on Hobbies to avoid these irregular spikes.,"{'category': 'Hobbies', 'spike_ratio': np.float64(22.0)}"
USR451OQ,behavioral_nudge,personal,low,77% of your total spend happens on weekends.,Weekend spending patterns often include more impulse purchases. Planning ahead could reduce costs.,"{'weekend_spend_pct': 77, 'weekend_spend': np.float64(230161.16), 'weekday_spend': np.float64(67035.6)}"
USR691Fc,spending_warning,personal,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,{'large_transactions': 3}
USR691Fc,budget_advice,peer,medium,You spend 234% more than similar users on Personal Hygiene ($0 vs peer avg $0/month).,Setting a monthly budget for Personal Hygiene could bring your spend in line with peers.,"{'category': 'Personal Hygiene', 'user_spend': np.float64(0.3181818181818182), 'peer_spend': np.float64(0.0952380952380952), 'pct_above': 234}"
USR691Fc,budget_advice,personal,medium,Your Friend Activities spending spiked to 11.0x your usual amount in your highest month.,Consider a monthly cap on Friend Activities to avoid these irregular spikes.,"{'category': 'Friend Activities', 'spike_ratio': np.float64(11.0)}"
USR479Ei,budget_advice,peer,medium,You spend 150% more than similar users on Gifts ($0 vs peer avg $0/month).,Setting a monthly budget for Gifts could bring your spend in line with peers.,"{'category': 'Gifts', 'user_spend': np.float64(0.238095238095238), 'peer_spend': np.float64(0.0952380952380952), 'pct_above': 150}"
USR479Ei,budget_advice,personal,medium,Your Medical/Dental spending spiked to 14.0x your usual amount in your highest month.,Consider a monthly cap on Medical/Dental to avoid these irregular spikes.,"{'category': 'Medical/Dental', 'spike_ratio': np.float64(14.0)}"
USR581oW,budget_advice,peer,medium,You spend 200% more than similar users on Fitness ($0 vs peer avg $0/month).,Setting a monthly budget for Fitness could bring your spend in line with peers.,"{'category': 'Fitness', 'user_spend': np.float64(0.3333333333333333), 'peer_spend': np.float64(0.1111111111111111), 'pct_above': 200}"
USR581oW,budget_advice,personal,medium,Your Friend Activities spending spiked to 24.0x your usual amount in your highest month.,Consider a monthly cap on Friend Activities to avoid these irregular spikes.,"{'category': 'Friend Activities', 'spike_ratio': np.float64(24.0)}"
USR581oW,behavioral_nudge,personal,low,86% of your total spend happens on weekends.,Weekend spending patterns often include more impulse purchases. Planning ahead could reduce costs.,"{'weekend_spend_pct': 86, 'weekend_spend': np.float64(170710.21), 'weekday_spend': np.float64(28174.07)}"
USR847gv,budget_advice,peer,medium,You spend 320% more than similar users on Gifts ($0 vs peer avg $0/month).,Setting a monthly budget for Gifts could bring your spend in line with peers.,"{'category': 'Gifts', 'user_spend': np.float64(0.4), 'peer_spend': np.float64(0.0952380952380952), 'pct_above': 320}"
USR847gv,budget_advice,personal,medium,Your Food spending spiked to 10.0x your usual amount in your highest month.,Consider a monthly cap on Food to avoid these irregular spikes.,"{'category': 'Food', 'spike_ratio': np.float64(10.0)}"
USR759Fr,budget_advice,peer,medium,You spend 157% more than similar users on Food ($0 vs peer avg $0/month).,Setting a monthly budget for Food could bring your spend in line with peers.,"{'category': 'Food', 'user_spend': np.float64(0.35), 'peer_spend': np.float64(0.1363636363636363), 'pct_above': 157}"
USR759Fr,budget_advice,personal,medium,Your Subscriptions spending spiked to 13.3x your usual amount in your highest month.,Consider a monthly cap on Subscriptions to avoid these irregular spikes.,"{'category': 'Subscriptions', 'spike_ratio': np.float64(13.3)}"
USR689zf,spending_warning,peer,medium,Your recent average spend ($464/txn) is 65% higher than similar users ($281/txn).,Consider whether your spending aligns with your financial goals.,"{'avg_amt_30d': np.float64(464.0199999999999), 'peer_avg': np.float64(281.25750000000005), 'pct_above': 65}"
USR689zf,budget_advice,peer,medium,You spend 200% more than similar users on Transportation ($0 vs peer avg $0/month).,Setting a monthly budget for Transportation could bring your spend in line with peers.,"{'category': 'Transportation', 'user_spend': np.float64(0.4285714285714285), 'peer_spend': np.float64(0.1428571428571428), 'pct_above': 200}"
USR689zf,budget_advice,personal,medium,Your Subscriptions spending spiked to 21.0x your usual amount in your highest month.,Consider a monthly cap on Subscriptions to avoid these irregular spikes.,"{'category': 'Subscriptions', 'spike_ratio': np.float64(21.0)}"
USR007mU,spending_warning,personal,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,{'large_transactions': 4}
USR007mU,budget_advice,peer,medium,You spend 214% more than similar users on Food ($0 vs peer avg $0/month).,Setting a monthly budget for Food could bring your spend in line with peers.,"{'category': 'Food', 'user_spend': np.float64(0.4285714285714285), 'peer_spend': np.float64(0.1363636363636363), 'pct_above': 214}"
USR007mU,budget_advice,personal,medium,Your Gifts spending spiked to 21.0x your usual amount in your highest month.,Consider a monthly cap on Gifts to avoid these irregular spikes.,"{'category': 'Gifts', 'spike_ratio': np.float64(21.0)}"
USR491Th,spending_warning,peer,medium,Your recent average spend ($349/txn) is 74% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,"{'avg_amt_30d': np.float64(348.725), 'peer_avg': np.float64(200.0), 'pct_above': 74}"
USR491Th,budget_advice,peer,medium,You spend 57% more than similar users on Fitness ($0 vs peer avg $0/month).,Setting a monthly budget for Fitness could bring your spend in line with peers.,"{'category': 'Fitness', 'user_spend': np.float64(0.1739130434782608), 'peer_spend': np.float64(0.1111111111111111), 'pct_above': 57}"
USR491Th,budget_advice,personal,medium,Your Housing and Utilities spending spiked to 23.0x your usual amount in your highest month.,Consider a monthly cap on Housing and Utilities to avoid these irregular spikes.,"{'category': 'Housing and Utilities', 'spike_ratio': np.float64(23.0)}"
USR491Th,behavioral_nudge,personal,low,97% of your total spend happens on weekends.,Weekend spending patterns often include more impulse purchases. Planning ahead could reduce costs.,"{'weekend_spend_pct': 97, 'weekend_spend': np.float64(198145.61), 'weekday_spend': np.float64(6827.35)}"
USR813QZ,spending_warning,personal,high,Your average transaction amount this month ($7470) is 719% above your usual average ($912).,Review your recent transactions to identify what changed.,"{'avg_amt_30d': np.float64(7470.366666666666), 'all_time_avg': np.float64(912.270681818182), 'pct_above': 719}"
USR813QZ,spending_warning,personal,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,{'large_transactions': 3}
USR813QZ,spending_warning,peer,medium,Your recent average spend ($7470/txn) is 3635% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,"{'avg_amt_30d': np.float64(7470.366666666666), 'peer_avg': np.float64(200.0), 'pct_above': 3635}"
USR813QZ,budget_advice,peer,medium,You spend 185% more than similar users on Food ($0 vs peer avg $0/month).,Setting a monthly budget for Food could bring your spend in line with peers.,"{'category': 'Food', 'user_spend': np.float64(0.3888888888888889), 'peer_spend': np.float64(0.1363636363636363), 'pct_above': 185}"
USR813QZ,budget_advice,personal,medium,Your Gifts spending spiked to 18.0x your usual amount in your highest month.,Consider a monthly cap on Gifts to avoid these irregular spikes.,"{'category': 'Gifts', 'spike_ratio': np.float64(18.0)}"
USR343dk,spending_warning,peer,medium,Your recent average spend ($2619/txn) is 1210% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,"{'avg_amt_30d': np.float64(2619.04), 'peer_avg': np.float64(200.0), 'pct_above': 1210}"
USR343dk,budget_advice,peer,medium,You spend 285% more than similar users on Subscriptions ($0 vs peer avg $0/month).,Setting a monthly budget for Subscriptions could bring your spend in line with peers.,"{'category': 'Subscriptions', 'user_spend': np.float64(0.35), 'peer_spend': np.float64(0.0909090909090909), 'pct_above': 285}"
USR343dk,budget_advice,personal,medium,Your Travel spending spiked to 20.0x your usual amount in your highest month.,Consider a monthly cap on Travel to avoid these irregular spikes.,"{'category': 'Travel', 'spike_ratio': np.float64(20.0)}"
USR291BJ,spending_warning,personal,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,{'large_transactions': 4}
USR291BJ,budget_advice,peer,medium,You spend 125% more than similar users on Fitness ($0 vs peer avg $0/month).,Setting a monthly budget for Fitness could bring your spend in line with peers.,"{'category': 'Fitness', 'user_spend': np.float64(0.25), 'peer_spend': np.float64(0.1111111111111111), 'pct_above': 125}"
USR291BJ,budget_advice,personal,medium,Your Hobbies spending spiked to 20.0x your usual amount in your highest month.,Consider a monthly cap on Hobbies to avoid these irregular spikes.,"{'category': 'Hobbies', 'spike_ratio': np.float64(20.0)}"
USR335Sx,spending_warning,personal,high,Your average transaction amount this month ($1445) is 339% above your usual average ($329).,Review your recent transactions to identify what changed.,"{'avg_amt_30d': np.float64(1444.575), 'all_time_avg': np.float64(328.7737096774194), 'pct_above': 339}"
USR335Sx,spending_warning,personal,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,{'large_transactions': 3}
USR335Sx,spending_warning,peer,medium,Your recent average spend ($1445/txn) is 622% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,"{'avg_amt_30d': np.float64(1444.575), 'peer_avg': np.float64(200.0), 'pct_above': 622}"
USR335Sx,budget_advice,peer,medium,You spend 234% more than similar users on Hobbies ($0 vs peer avg $0/month).,Setting a monthly budget for Hobbies could bring your spend in line with peers.,"{'category': 'Hobbies', 'user_spend': np.float64(0.3181818181818182), 'peer_spend': np.float64(0.0952380952380952), 'pct_above': 234}"
USR335Sx,budget_advice,personal,medium,Your Fitness spending spiked to 22.0x your usual amount in your highest month.,Consider a monthly cap on Fitness to avoid these irregular spikes.,"{'category': 'Fitness', 'spike_ratio': np.float64(22.0)}"
USR818nO,spending_warning,personal,high,Your average transaction amount this month ($4216) is 60% above your usual average ($2640).,Review your recent transactions to identify what changed.,"{'avg_amt_30d': np.float64(4215.528), 'all_time_avg': np.float64(2640.141525423729), 'pct_above': 60}"
USR818nO,spending_warning,peer,medium,Your recent average spend ($4216/txn) is 566% higher than similar users ($633/txn).,Consider whether your spending aligns with your financial goals.,"{'avg_amt_30d': np.float64(4215.528), 'peer_avg': np.float64(632.9639999999999), 'pct_above': 566}"
USR818nO,budget_advice,peer,medium,You spend 700% more than similar users on Gifts ($0 vs peer avg $0/month).,Setting a monthly budget for Gifts could bring your spend in line with peers.,"{'category': 'Gifts', 'user_spend': np.float64(0.3478260869565217), 'peer_spend': np.float64(0.0434782608695652), 'pct_above': 700}"
USR818nO,budget_advice,personal,medium,Your Friend Activities spending spiked to 11.5x your usual amount in your highest month.,Consider a monthly cap on Friend Activities to avoid these irregular spikes.,"{'category': 'Friend Activities', 'spike_ratio': np.float64(11.5)}"
USR375sC,budget_advice,peer,medium,You spend 138% more than similar users on Housing and Utilities ($0 vs peer avg $0/month).,Setting a monthly budget for Housing and Utilities could bring your spend in line with peers.,"{'category': 'Housing and Utilities', 'user_spend': np.float64(0.238095238095238), 'peer_spend': np.float64(0.1), 'pct_above': 138}"
USR375sC,budget_advice,personal,medium,Your Friend Activities spending spiked to 21.0x your usual amount in your highest month.,Consider a monthly cap on Friend Activities to avoid these irregular spikes.,"{'category': 'Friend Activities', 'spike_ratio': np.float64(21.0)}"
USR271eY,spending_warning,peer,medium,Your recent average spend ($2587/txn) is 1194% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,"{'avg_amt_30d': np.float64(2587.1633333333334), 'peer_avg': np.float64(200.0), 'pct_above': 1194}"
USR271eY,budget_advice,peer,medium,You spend 250% more than similar users on Hobbies ($0 vs peer avg $0/month).,Setting a monthly budget for Hobbies could bring your spend in line with peers.,"{'category': 'Hobbies', 'user_spend': np.float64(0.3333333333333333), 'peer_spend': np.float64(0.0952380952380952), 'pct_above': 250}"
USR271eY,budget_advice,personal,medium,Your Subscriptions spending spiked to 14.0x your usual amount in your highest month.,Consider a monthly cap on Subscriptions to avoid these irregular spikes.,"{'category': 'Subscriptions', 'spike_ratio': np.float64(14.0)}"
USR253Hy,spending_warning,personal,high,You have 4 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,{'large_transactions': 4}
USR253Hy,budget_advice,peer,medium,You spend 152% more than similar users on Food ($0 vs peer avg $0/month).,Setting a monthly budget for Food could bring your spend in line with peers.,"{'category': 'Food', 'user_spend': np.float64(0.3684210526315789), 'peer_spend': np.float64(0.1464285714285714), 'pct_above': 152}"
USR253Hy,budget_advice,personal,medium,Your Gifts spending spiked to 9.5x your usual amount in your highest month.,Consider a monthly cap on Gifts to avoid these irregular spikes.,"{'category': 'Gifts', 'spike_ratio': np.float64(9.5)}"
USR944dh,spending_warning,peer,medium,Your recent average spend ($708/txn) is 254% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,"{'avg_amt_30d': np.float64(708.23), 'peer_avg': np.float64(200.0), 'pct_above': 254}"
USR944dh,budget_advice,peer,medium,You spend 373% more than similar users on Hobbies ($0 vs peer avg $0/month).,Setting a monthly budget for Hobbies could bring your spend in line with peers.,"{'category': 'Hobbies', 'user_spend': np.float64(0.45), 'peer_spend': np.float64(0.0952380952380952), 'pct_above': 373}"
USR944dh,budget_advice,personal,medium,Your Fitness spending spiked to 20.0x your usual amount in your highest month.,Consider a monthly cap on Fitness to avoid these irregular spikes.,"{'category': 'Fitness', 'spike_ratio': np.float64(20.0)}"
USR944dh,behavioral_nudge,personal,low,98% of your total spend happens on weekends.,Weekend spending patterns often include more impulse purchases. Planning ahead could reduce costs.,"{'weekend_spend_pct': 98, 'weekend_spend': np.float64(338873.8), 'weekday_spend': np.float64(7732.84)}"
USR418ju,spending_warning,peer,medium,Your recent average spend ($783/txn) is 291% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,"{'avg_amt_30d': np.float64(782.7075), 'peer_avg': np.float64(200.0), 'pct_above': 291}"
USR418ju,budget_advice,peer,medium,You spend 186% more than similar users on Fitness ($0 vs peer avg $0/month).,Setting a monthly budget for Fitness could bring your spend in line with peers.,"{'category': 'Fitness', 'user_spend': np.float64(0.3181818181818182), 'peer_spend': np.float64(0.1111111111111111), 'pct_above': 186}"
USR418ju,budget_advice,personal,medium,Your Hobbies spending spiked to 22.0x your usual amount in your highest month.,Consider a monthly cap on Hobbies to avoid these irregular spikes.,"{'category': 'Hobbies', 'spike_ratio': np.float64(22.0)}"
USR418ju,behavioral_nudge,personal,low,87% of your total spend happens on weekends.,Weekend spending patterns often include more impulse purchases. Planning ahead could reduce costs.,"{'weekend_spend_pct': 87, 'weekend_spend': np.float64(116682.29), 'weekday_spend': np.float64(17829.57)}"
USR896kh,spending_warning,personal,high,You have 6 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,{'large_transactions': 6}
USR896kh,budget_advice,peer,medium,You spend 186% more than similar users on Friend Activities ($0 vs peer avg $0/month).,Setting a monthly budget for Friend Activities could bring your spend in line with peers.,"{'category': 'Friend Activities', 'user_spend': np.float64(0.2727272727272727), 'peer_spend': np.float64(0.0952380952380952), 'pct_above': 186}"
USR896kh,budget_advice,personal,medium,Your Subscriptions spending spiked to 22.0x your usual amount in your highest month.,Consider a monthly cap on Subscriptions to avoid these irregular spikes.,"{'category': 'Subscriptions', 'spike_ratio': np.float64(22.0)}"
USR961UU,budget_advice,peer,medium,You spend 234% more than similar users on Friend Activities ($0 vs peer avg $0/month).,Setting a monthly budget for Friend Activities could bring your spend in line with peers.,"{'category': 'Friend Activities', 'user_spend': np.float64(0.3181818181818182), 'peer_spend': np.float64(0.0952380952380952), 'pct_above': 234}"
USR961UU,budget_advice,personal,medium,Your Medical/Dental spending spiked to 22.0x your usual amount in your highest month.,Consider a monthly cap on Medical/Dental to avoid these irregular spikes.,"{'category': 'Medical/Dental', 'spike_ratio': np.float64(22.0)}"
USR324Nf,budget_advice,peer,medium,You spend 425% more than similar users on Personal Hygiene ($0 vs peer avg $0/month).,Setting a monthly budget for Personal Hygiene could bring your spend in line with peers.,"{'category': 'Personal Hygiene', 'user_spend': np.float64(0.5), 'peer_spend': np.float64(0.0952380952380952), 'pct_above': 425}"
USR324Nf,budget_advice,personal,medium,Your Subscriptions spending spiked to 20.0x your usual amount in your highest month.,Consider a monthly cap on Subscriptions to avoid these irregular spikes.,"{'category': 'Subscriptions', 'spike_ratio': np.float64(20.0)}"
USR500hm,budget_advice,personal,medium,Your Personal Hygiene spending spiked to 22.0x your usual amount in your highest month.,Consider a monthly cap on Personal Hygiene to avoid these irregular spikes.,"{'category': 'Personal Hygiene', 'spike_ratio': np.float64(22.0)}"
USR539EC,spending_warning,personal,high,You have 3 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,{'large_transactions': 3}
USR539EC,spending_warning,peer,medium,Your recent average spend ($2094/txn) is 947% higher than similar users ($200/txn).,Consider whether your spending aligns with your financial goals.,"{'avg_amt_30d': np.float64(2094.25), 'peer_avg': np.float64(200.0), 'pct_above': 947}"
USR539EC,budget_advice,peer,medium,You spend 251% more than similar users on Food ($0 vs peer avg $0/month).,Setting a monthly budget for Food could bring your spend in line with peers.,"{'category': 'Food', 'user_spend': np.float64(0.4782608695652174), 'peer_spend': np.float64(0.1363636363636363), 'pct_above': 251}"
USR539EC,budget_advice,personal,medium,Your Friend Activities spending spiked to 15.3x your usual amount in your highest month.,Consider a monthly cap on Friend Activities to avoid these irregular spikes.,"{'category': 'Friend Activities', 'spike_ratio': np.float64(15.3)}"
USR053xd,spending_warning,personal,high,You have 5 unusually large transactions compared to your own average.,Check these transactions — they are significantly larger than your typical spend.,{'large_transactions': 5}
USR053xd,budget_advice,peer,medium,You spend 135% more than similar users on Medical/Dental ($0 vs peer avg $0/month).,Setting a monthly budget for Medical/Dental could bring your spend in line with peers.,"{'category': 'Medical/Dental', 'user_spend': np.float64(0.4090909090909091), 'peer_spend': np.float64(0.1739130434782608), 'pct_above': 135}"
USR053xd,budget_advice,personal,medium,Your Food spending spiked to 11.0x your usual amount in your highest month.,Consider a monthly cap on Food to avoid these irregular spikes.,"{'category': 'Food', 'spike_ratio': np.float64(11.0)}"
USR082ip,budget_advice,peer,medium,You spend 175% more than similar users on Gifts ($0 vs peer avg $0/month).,Setting a monthly budget for Gifts could bring your spend in line with peers.,"{'category': 'Gifts', 'user_spend': np.float64(0.5), 'peer_spend': np.float64(0.1818181818181818), 'pct_above': 175}"
USR082ip,budget_advice,personal,medium,Your Food spending spiked to 20.0x your usual amount in your highest month.,Consider a monthly cap on Food to avoid these irregular spikes.,"{'category': 'Food', 'spike_ratio': np.float64(20.0)}"
USR721Xc,budget_advice,peer,medium,You spend 200% more than similar users on Personal Hygiene ($0 vs peer avg $0/month).,Setting a monthly budget for Personal Hygiene could bring your spend in line with peers.,"{'category': 'Personal Hygiene', 'user_spend': np.float64(0.2857142857142857), 'peer_spend': np.float64(0.0952380952380952), 'pct_above': 200}"
